wall_clock	lsl_clock	task	phase	response_type	participant	device_id	item_key	item_value
1773825907.283346	836222.682423	T0		vad	P1	tablet1	valence	9
1773825907.283346	836222.682423	T0		vad	P1	tablet1	arousal	8
1773825907.283346	836222.682423	T0		vad	P1	tablet1	dominance	6
1773825921.271222	836236.670212	T0		vad	P2	tablet2	valence	7
1773825921.271222	836236.670212	T0		vad	P2	tablet2	arousal	3
1773825921.271222	836236.670212	T0		vad	P2	tablet2	dominance	5
1773825907.283346	836222.682423	T0		vad	P1	tablet1	valence	9
1773825907.283346	836222.682423	T0		vad	P1	tablet1	arousal	8
1773825907.283346	836222.682423	T0		vad	P1	tablet1	dominance	6
1773825921.271222	836236.670212	T0		vad	P2	tablet2	valence	7
1773825921.271222	836236.670212	T0		vad	P2	tablet2	arousal	3
1773825921.271222	836236.670212	T0		vad	P2	tablet2	dominance	5
1773826668.351525	321.077791	T1		vad	P2	tablet2	valence	6
1773826668.351525	321.077791	T1		vad	P2	tablet2	arousal	4
1773826668.351525	321.077791	T1		vad	P2	tablet2	dominance	6
1773826671.624975	324.351771	T1		vad	P3	tablet3	valence	5
1773826671.624975	324.351771	T1		vad	P3	tablet3	arousal	6
1773826671.624975	324.351771	T1		vad	P3	tablet3	dominance	3
1773826675.036665	327.762801	T1		vad	P4	tablet4	valence	8
1773826675.036665	327.762801	T1		vad	P4	tablet4	arousal	8
1773826675.036665	327.762801	T1		vad	P4	tablet4	dominance	8
1773826788.656933	441.383745	T1		vad	P4	tablet4	valence	8
1773826788.656933	441.383745	T1		vad	P4	tablet4	arousal	8
1773826788.656933	441.383745	T1		vad	P4	tablet4	dominance	8
1773826789.060987	441.787044	T1		vad	P3	tablet3	valence	6
1773826789.060987	441.787044	T1		vad	P3	tablet3	arousal	6
1773826789.060987	441.787044	T1		vad	P3	tablet3	dominance	5
1773826794.59182	447.317746	T1		vad	P2	tablet2	valence	5
1773826794.59182	447.317746	T1		vad	P2	tablet2	arousal	6
1773826794.59182	447.317746	T1		vad	P2	tablet2	dominance	6
1773826911.306347	564.03227	T1		form	P4	tablet4	selected_candidate	Candidate C
1773827017.482924	670.209705	T1		postblock	P3	tablet3	decision_confidence	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	dominance_p1	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	dominance_p2	5
1773827017.482924	670.209705	T1		postblock	P3	tablet3	dominance_p3	3
1773827017.482924	670.209705	T1		postblock	P3	tablet3	dominance_p4	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	engagement	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	equality_of_contribution	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	familiarity_p1	1
1773827017.482924	670.209705	T1		postblock	P3	tablet3	familiarity_p2	1
1773827017.482924	670.209705	T1		postblock	P3	tablet3	familiarity_p3	7
1773827017.482924	670.209705	T1		postblock	P3	tablet3	familiarity_p4	1
1773827017.482924	670.209705	T1		postblock	P3	tablet3	info_sharing	5
1773827017.482924	670.209705	T1		postblock	P3	tablet3	manipcheck_t1	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	mental_demand	5
1773827017.482924	670.209705	T1		postblock	P3	tablet3	overall_valence	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	perceived_control	4
1773827017.482924	670.209705	T1		postblock	P3	tablet3	team_coordination	5
1773827017.482924	670.209705	T1		postblock	P3	tablet3	voice_inclusion	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	decision_confidence	4
1773827040.110812	692.836839	T1		postblock	P4	tablet4	dominance_p1	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	dominance_p2	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	dominance_p3	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	dominance_p4	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	engagement	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	equality_of_contribution	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	familiarity_p1	1
1773827040.110812	692.836839	T1		postblock	P4	tablet4	familiarity_p2	1
1773827040.110812	692.836839	T1		postblock	P4	tablet4	familiarity_p3	1
1773827040.110812	692.836839	T1		postblock	P4	tablet4	familiarity_p4	7
1773827040.110812	692.836839	T1		postblock	P4	tablet4	info_sharing	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	manipcheck_t1	5
1773827040.110812	692.836839	T1		postblock	P4	tablet4	mental_demand	2
1773827040.110812	692.836839	T1		postblock	P4	tablet4	overall_valence	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	perceived_control	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	team_coordination	6
1773827040.110812	692.836839	T1		postblock	P4	tablet4	voice_inclusion	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	decision_confidence	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	dominance_p1	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	dominance_p2	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	dominance_p3	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	dominance_p4	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	engagement	5
1773827049.68899	702.415789	T1		postblock	P2	tablet2	equality_of_contribution	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	familiarity_p1	1
1773827049.68899	702.415789	T1		postblock	P2	tablet2	familiarity_p2	7
1773827049.68899	702.415789	T1		postblock	P2	tablet2	familiarity_p3	1
1773827049.68899	702.415789	T1		postblock	P2	tablet2	familiarity_p4	1
1773827049.68899	702.415789	T1		postblock	P2	tablet2	info_sharing	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	manipcheck_t1	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	mental_demand	3
1773827049.68899	702.415789	T1		postblock	P2	tablet2	overall_valence	5
1773827049.68899	702.415789	T1		postblock	P2	tablet2	perceived_control	5
1773827049.68899	702.415789	T1		postblock	P2	tablet2	team_coordination	6
1773827049.68899	702.415789	T1		postblock	P2	tablet2	voice_inclusion	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	decision_confidence	5
1773827096.309769	749.0366	T1		postblock	P1	tablet1	dominance_p2	4
1773827096.309769	749.0366	T1		postblock	P1	tablet1	dominance_p3	1
1773827096.309769	749.0366	T1		postblock	P1	tablet1	dominance_p4	4
1773827096.309769	749.0366	T1		postblock	P1	tablet1	engagement	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	equality_of_contribution	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	familiarity_p2	1
1773827096.309769	749.0366	T1		postblock	P1	tablet1	familiarity_p3	1
1773827096.309769	749.0366	T1		postblock	P1	tablet1	familiarity_p4	1
1773827096.309769	749.0366	T1		postblock	P1	tablet1	info_sharing	7
1773827096.309769	749.0366	T1		postblock	P1	tablet1	manipcheck_t1	3
1773827096.309769	749.0366	T1		postblock	P1	tablet1	mental_demand	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	overall_valence	5
1773827096.309769	749.0366	T1		postblock	P1	tablet1	perceived_control	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	team_coordination	6
1773827096.309769	749.0366	T1		postblock	P1	tablet1	voice_inclusion	7
1773827270.605132	923.331748	T2		vad	P3	tablet3	valence	5
1773827270.605132	923.331748	T2		vad	P3	tablet3	arousal	5
1773827270.605132	923.331748	T2		vad	P3	tablet3	dominance	5
1773827270.809605	923.536327	T2		vad	P2	tablet2	valence	3
1773827270.809605	923.536327	T2		vad	P2	tablet2	arousal	3
1773827270.809605	923.536327	T2		vad	P2	tablet2	dominance	4
1773827277.613921	930.340485	T2		vad	P4	tablet4	valence	6
1773827277.613921	930.340485	T2		vad	P4	tablet4	arousal	8
1773827277.613921	930.340485	T2		vad	P4	tablet4	dominance	7
1773827445.546078	1098.27245	T2		vad	P3	tablet3	valence	6
1773827445.546078	1098.27245	T2		vad	P3	tablet3	arousal	5
1773827445.546078	1098.27245	T2		vad	P3	tablet3	dominance	5
1773827528.08487	1180.811067	T2		vad	P2	tablet2	valence	2
1773827528.08487	1180.811067	T2		vad	P2	tablet2	arousal	7
1773827528.08487	1180.811067	T2		vad	P2	tablet2	dominance	4
1773827529.729669	1182.456179	T2		vad	P4	tablet4	valence	7
1773827529.729669	1182.456179	T2		vad	P4	tablet4	arousal	7
1773827529.729669	1182.456179	T2		vad	P4	tablet4	dominance	7
1773827629.499358	1282.225613	T2		vad	P3	tablet3	valence	6
1773827629.499358	1282.225613	T2		vad	P3	tablet3	arousal	5
1773827629.499358	1282.225613	T2		vad	P3	tablet3	dominance	5
1773827637.962546	1290.688806	T2		vad	P2	tablet2	valence	2
1773827637.962546	1290.688806	T2		vad	P2	tablet2	arousal	8
1773827637.962546	1290.688806	T2		vad	P2	tablet2	dominance	6
1773827683.401819	1336.127882	T2		vad	P4	tablet4	valence	7
1773827683.401819	1336.127882	T2		vad	P4	tablet4	arousal	7
1773827683.401819	1336.127882	T2		vad	P4	tablet4	dominance	7
1773827826.034765	1478.761116	T2		form	P2	tablet2	final_topic	How to use AI for productivity in daily tasks
1773827826.034765	1478.761116	T2		form	P2	tablet2	final_format	Interactive Informal Workshop
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	cooperative	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	dominance_p1	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	dominance_p2	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	dominance_p3	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	dominance_p4	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	engagement	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	manipcheck_t2	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	mental_demand	2
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	overall_valence	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	perceived_control	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	satisfaction	5
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	trust_angle	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	trust_front	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	trust_next	6
1773827919.036589	1571.76248	T2		postblock	P4	tablet4	voice_inclusion	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	cooperative	3
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	dominance_p1	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	dominance_p2	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	dominance_p3	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	dominance_p4	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	engagement	4
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	manipcheck_t2	3
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	mental_demand	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	overall_valence	4
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	perceived_control	5
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	satisfaction	3
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	trust_angle	7
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	trust_front	7
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	trust_next	7
1773827930.773721	1583.500043	T2		postblock	P3	tablet3	voice_inclusion	4
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	cooperative	2
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	dominance_p1	4
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	dominance_p2	5
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	dominance_p3	4
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	dominance_p4	5
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	engagement	5
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	manipcheck_t2	3
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	mental_demand	6
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	overall_valence	2
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	perceived_control	4
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	satisfaction	4
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	trust_angle	3
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	trust_front	6
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	trust_next	5
1773827939.454973	1592.181688	T2		postblock	P2	tablet2	voice_inclusion	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	cooperative	6
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	dominance_p2	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	dominance_p3	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	dominance_p4	4
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	engagement	6
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	manipcheck_t2	4
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	mental_demand	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	overall_valence	6
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	perceived_control	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	satisfaction	4
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	trust_angle	3
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	trust_front	6
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	trust_next	5
1773827961.027617	1613.753668	T2		postblock	P1	tablet1	voice_inclusion	4
1773828095.615847	1748.341882	T3		form	P4	tablet4	idea_1	Christmas party 
1773828095.615847	1748.341882	T3		form	P4	tablet4	idea_2	Easter event with with family 
1773828095.615847	1748.341882	T3		form	P4	tablet4	idea_3	Summer party 
1773828110.842627	1763.569349	T3		form	P1	tablet1	idea_1	Petanque
1773828110.842627	1763.569349	T3		form	P1	tablet1	idea_2	Darts
1773828110.842627	1763.569349	T3		form	P1	tablet1	idea_3	Bowling
1773828144.080109	1796.806523	T3		form	P2	tablet2	idea_1	Team outing at a nice place with live bands
1773828144.080109	1796.806523	T3		form	P2	tablet2	idea_2	
1773828144.080109	1796.806523	T3		form	P2	tablet2	idea_3	
1773828188.733313	1841.459675	T3		form	P3	tablet3	idea_1	Beach party. Bbq. Games
1773828188.733313	1841.459675	T3		form	P3	tablet3	idea_2	Gn olympiad. Teams will compete iN 20nsports disciplines
1773828188.733313	1841.459675	T3		form	P3	tablet3	idea_3	Invite inpiring coacg such chris mcdonall.
1773828331.720991	1984.447224	T3		vad	P3	tablet3	valence	5
