wall_clock	lsl_clock	task	phase	response_type	participant	device_id	item_key	item_value
1773313629.141364	323936.767109	T1		form	P4	tablet4	selected_candidate	Candidate A
1773313636.134027	323943.759464	T1		postblock	P4	tablet4	response	
1773313638.497726	323946.123194	T1		postblock	P2	tablet2	response	
1773313680.877409	323988.502675	T1		postblock	P4	tablet4	response	
1773313682.42712	323990.051496	T1		postblock	P2	tablet2	response	
1773313723.458878	324031.089294	T2		form	P4	tablet4	final_topic	How to work better across teams
1773313723.458878	324031.089294	T2		form	P4	tablet4	final_format	Lecture + Q&A
1773313733.301327	324040.932111	T2		postblock	P4	tablet4	response	
1773313734.529408	324042.163298	T2		postblock	P2	tablet2	response	
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_1	Yjeuy
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_2	Djyduy
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_3	Djhd
1773313832.421163	324140.053772	T3		form	P4	tablet4	winning_idea	
1773313832.421163	324140.053772	T3		form	P4	tablet4	idea_author	P3 — Idea 2
1773313842.904102	324150.531673	T3		postblock	P4	tablet4	response	
1773313901.218461	324208.850587	T4		form	P2	tablet2	contribution	0
1773313903.559988	324211.188959	T4		form	P4	tablet4	contribution	2
1773313638.497726	323946.123194	T1		postblock	P2	tablet2	response	
1773313682.42712	323990.051496	T1		postblock	P2	tablet2	response	
1773313734.529408	324042.163298	T2		postblock	P2	tablet2	response	
1773313901.218461	324208.850587	T4		form	P2	tablet2	contribution	0
1773313629.141364	323936.767109	T1		form	P4	tablet4	selected_candidate	Candidate A
1773313636.134027	323943.759464	T1		postblock	P4	tablet4	response	
1773313680.877409	323988.502675	T1		postblock	P4	tablet4	response	
1773313723.458878	324031.089294	T2		form	P4	tablet4	final_topic	How to work better across teams
1773313723.458878	324031.089294	T2		form	P4	tablet4	final_format	Lecture + Q&A
1773313733.301327	324040.932111	T2		postblock	P4	tablet4	response	
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_1	Yjeuy
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_2	Djyduy
1773313821.888095	324129.513156	T3		form	P4	tablet4	idea_3	Djhd
1773313832.421163	324140.053772	T3		form	P4	tablet4	winning_idea	
1773313832.421163	324140.053772	T3		form	P4	tablet4	idea_author	P3 — Idea 2
1773313842.904102	324150.531673	T3		postblock	P4	tablet4	response	
1773313903.559988	324211.188959	T4		form	P4	tablet4	contribution	2
1773318094.253422	328401.87809	T0		vad	P3	tablet3	valence	8
1773318094.253422	328401.87809	T0		vad	P3	tablet3	arousal	5
1773318094.253422	328401.87809	T0		vad	P3	tablet3	dominance	7
1773318098.427171	328406.052085	T0		vad	P1	tablet1	valence	7
1773318098.427171	328406.052085	T0		vad	P1	tablet1	arousal	7
1773318098.427171	328406.052085	T0		vad	P1	tablet1	dominance	7
